split,reward_mean,yield_mean_kg_ha,yield_std_kg_ha,irrigation_mean_mm,mae_kg_ha,mape_percent,planting_offset_mean_days,n
test,0.9398474707489414,3950.509377145554,47.638650696993,0.5,112.76979370266447,2.798514001774079,13.75,4
valid,0.9066834469673507,3808.070477262873,47.59111837429227,0.0,117.7175162075963,3.0522806439316454,14.5,4
