split,rep,reward,year,failed,planting_offset_days,trigger_dryness,amount_mm,max_irrigation_mm,yield_kg_ha,irrigation_mm,rain_mm,planting_date,n_irrigation_events,harvest_window_end,observed_yield_kg_ha,yield_error_kg_ha,yield_abs_error_kg_ha,yield_abs_percent_error
test,0,0.9296704389465738,2022,False,12,90.0,2.0,35.95393657684326,3904.6158435756097,0.0,714.0,2022-09-27,0,2023-02-24,3923.0,-18.384156424390312,18.384156424390312,0.4686249407185907
test,0,0.9389536921417254,2023,False,14,90.0,2.0,32.94466257095337,3943.605506995247,0.0,844.0,2023-09-29,0,2024-02-26,4154.0,-210.3944930047533,210.3944930047533,5.06486502178029
test,0,0.9342692218282976,2024,False,17,90.0,2.0,29.39600706100464,3936.53073167885,2.0,647.0,2024-10-02,1,2025-03-01,3827.0,109.53073167884986,109.53073167884986,2.8620520428233567
test,0,0.9564965300791688,2025,False,12,90.0,2.0,36.26254081726074,4017.285426332509,0.0,623.0,2025-09-27,0,2026-02-24,,,,
valid,0,0.8960926689996725,2018,False,14,90.0,2.0,32.98797130584717,3763.589209798625,0.0,738.0,2018-09-29,0,2019-02-26,3750.0,13.58920979862478,13.58920979862478,0.3623789279633274
valid,0,0.8985497976088944,2019,False,17,90.0,2.0,30.735466480255127,3773.909149957357,0.0,573.0,2019-10-02,0,2020-02-29,3700.0,73.90914995735648,73.90914995735648,1.997544593442067
valid,0,0.9120728385977508,2020,False,15,90.0,2.0,32.14311122894287,3830.705922110553,0.0,667.0,2020-09-30,0,2021-02-27,4050.0,-219.29407788944675,219.29407788944675,5.414668589862882
valid,0,0.9200184826630852,2021,False,12,90.0,2.0,36.44357204437256,3864.077627184957,0.0,641.0,2021-09-27,0,2022-02-24,3700.0,164.07762718495724,164.07762718495724,4.434530464458304
