split,mae,rmse,mape_percent,bias,n
test,111.82402415354181,146.95140719444606,2.7505608749117187,-64.44469441620929,3
train,229.56243431727566,319.9413380782629,7.489646070105757,136.39602624787562,12
valid,109.0587429296811,138.62650785826182,2.819948681035998,-4.547473508864641e-13,4
